iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
100000,  2.728451E+03,  7.791206E+03,  8.026279E+02,  1.390990E+03,  5.274479E+01,  9.460185E-01,  1.160939E-02,  2.972005E+00,  2.972005E+00,  5.184889E+03,  9.140908E+01,  1.332345E-08,  1.683594E-03,  3.350218E-02,  2.891452E-01,  3.472101E-01,  3.636446E-01
101000,  2.661823E+03,  7.834063E+03,  6.933533E+02,  1.371993E+03,  4.531452E+01,  8.744548E-01,  1.073118E-02,  2.747181E+00,  2.747181E+00,  3.848022E+03,  8.966743E+01,  1.825013E-08,  1.702168E-03,  3.368647E-02,  2.843978E-01,  3.562292E-01,  3.593731E-01
102000,  2.577370E+03,  7.860242E+03,  5.777542E+02,  1.337356E+03,  3.763372E+01,  7.955780E-01,  9.763211E-03,  2.499382E+00,  2.499382E+00,  2.662968E+03,  8.711263E+01,  2.663693E-08,  1.713563E-03,  3.379904E-02,  2.837703E-01,  3.676977E-01,  3.485320E-01
103000,  2.465547E+03,  7.856869E+03,  4.629871E+02,  1.278235E+03,  3.017098E+01,  7.124954E-01,  8.743634E-03,  2.238370E+00,  2.238370E+00,  1.710818E+03,  8.329737E+01,  4.140825E-08,  1.712092E-03,  3.378453E-02,  2.845143E-01,  3.748765E-01,  3.406092E-01
104000,  2.333922E+03,  7.804013E+03,  3.690269E+02,  1.193770E+03,  2.421085E+01,  6.404101E-01,  7.859015E-03,  2.011908E+00,  2.011908E+00,  1.094243E+03,  7.832001E+01,  6.344281E-08,  1.689134E-03,  3.355725E-02,  2.913558E-01,  3.696580E-01,  3.389862E-01
105000,  2.201621E+03,  7.681063E+03,  2.964424E+02,  1.090897E+03,  1.976009E+01,  5.831711E-01,  7.156587E-03,  1.832086E+00,  1.832086E+00,  7.174224E+02,  7.271638E+01,  9.226376E-08,  1.636329E-03,  3.302857E-02,  2.996849E-01,  3.592588E-01,  3.410562E-01
106000,  2.098244E+03,  7.466673E+03,  2.386920E+02,  9.824464E+02,  1.636744E+01,  5.383181E-01,  6.606157E-03,  1.691176E+00,  1.691176E+00,  4.784806E+02,  6.736769E+01,  1.270748E-07,  1.546260E-03,  3.210669E-02,  3.013358E-01,  3.526013E-01,  3.460629E-01
107000,  2.062924E+03,  7.141689E+03,  1.953273E+02,  8.836568E+02,  1.400335E+01,  5.091289E-01,  6.247951E-03,  1.599476E+00,  1.599476E+00,  3.349969E+02,  6.335088E+01,  1.588197E-07,  1.414588E-03,  3.070926E-02,  3.022759E-01,  3.494215E-01,  3.483026E-01
108000,  2.109007E+03,  6.716860E+03,  1.642633E+02,  7.991147E+02,  1.252115E+01,  4.964221E-01,  6.092017E-03,  1.559556E+00,  1.559556E+00,  2.519014E+02,  6.091339E+01,  1.757157E-07,  1.251298E-03,  2.888250E-02,  3.052568E-01,  3.454938E-01,  3.492494E-01
109000,  2.222344E+03,  6.238131E+03,  1.441125E+02,  7.263048E+02,  1.182816E+01,  5.006606E-01,  6.144030E-03,  1.572872E+00,  1.572872E+00,  2.087682E+02,  5.961209E+01,  1.698406E-07,  1.079288E-03,  2.682397E-02,  3.064503E-01,  3.433003E-01,  3.502495E-01
