iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
100000,  2.501460E+03,  5.084955E+02,  6.802186E+01,  1.448555E+02,  1.712267E+01,  1.054932E+00,  5.178384E-02,  3.314166E+00,  3.314166E+00,  1.426479E+02,  3.646346E+01,  3.989003E-08,  3.187277E-04,  1.457687E-02,  4.015828E-01,  3.582258E-01,  2.401913E-01
101000,  2.483708E+03,  5.107892E+02,  6.740259E+01,  1.451280E+02,  1.689059E+01,  1.045403E+00,  5.131610E-02,  3.284230E+00,  3.284230E+00,  1.394334E+02,  3.636801E+01,  4.136441E-08,  3.216097E-04,  1.464263E-02,  3.835943E-01,  3.706757E-01,  2.457300E-01
102000,  2.475874E+03,  5.119393E+02,  6.650734E+01,  1.453224E+02,  1.662881E+01,  1.036104E+00,  5.085965E-02,  3.255018E+00,  3.255018E+00,  1.354491E+02,  3.633491E+01,  4.286942E-08,  3.230595E-04,  1.467559E-02,  3.641340E-01,  3.889018E-01,  2.469641E-01
103000,  2.458370E+03,  5.128067E+02,  6.612323E+01,  1.447844E+02,  1.650480E+01,  1.031361E+00,  5.062679E-02,  3.240115E+00,  3.240115E+00,  1.336626E+02,  3.613917E+01,  4.366359E-08,  3.241552E-04,  1.470046E-02,  3.624551E-01,  3.909164E-01,  2.466284E-01
104000,  2.398530E+03,  5.134624E+02,  6.596335E+01,  1.416217E+02,  1.644387E+01,  1.028797E+00,  5.050097E-02,  3.232062E+00,  3.232062E+00,  1.328472E+02,  3.530458E+01,  4.410036E-08,  3.249848E-04,  1.471926E-02,  3.697330E-01,  3.922264E-01,  2.380406E-01
105000,  2.341453E+03,  5.103331E+02,  6.228337E+01,  1.365715E+02,  1.562170E+01,  1.005818E+00,  4.937298E-02,  3.159871E+00,  3.159871E+00,  1.191643E+02,  3.425440E+01,  4.827072E-08,  3.210356E-04,  1.462955E-02,  3.404141E-01,  4.096169E-01,  2.499690E-01
106000,  2.330214E+03,  5.010491E+02,  5.855483E+01,  1.310158E+02,  1.495865E+01,  9.933178E-01,  4.875937E-02,  3.120600E+00,  3.120600E+00,  1.072755E+02,  3.346981E+01,  5.074680E-08,  3.094612E-04,  1.436341E-02,  3.010614E-01,  4.301502E-01,  2.687884E-01
107000,  2.373984E+03,  4.890745E+02,  5.599879E+01,  1.271730E+02,  1.465594E+01,  9.951798E-01,  4.885077E-02,  3.126450E+00,  3.126450E+00,  1.005167E+02,  3.328358E+01,  5.036808E-08,  2.948463E-04,  1.402013E-02,  2.849771E-01,  4.269468E-01,  2.880761E-01
108000,  2.485090E+03,  4.789413E+02,  5.647474E+01,  1.276656E+02,  1.509322E+01,  1.020545E+00,  5.009586E-02,  3.206135E+00,  3.206135E+00,  1.043955E+02,  3.411942E+01,  4.554426E-08,  2.827550E-04,  1.372965E-02,  2.826886E-01,  4.137500E-01,  3.035615E-01
109000,  2.585830E+03,  4.747141E+02,  5.826468E+01,  1.305063E+02,  1.571026E+01,  1.045822E+00,  5.133666E-02,  3.285547E+00,  3.285547E+00,  1.121074E+02,  3.518919E+01,  4.129814E-08,  2.777857E-04,  1.360847E-02,  2.677307E-01,  4.197779E-01,  3.124914E-01
