iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
100000,  1.297721E+03,  4.392670E+02,  4.648298E+01,  8.411959E+01,  6.772442E+00,  5.047491E-01,  4.955363E-02,  1.585716E+00,  1.585716E+00,  3.855537E+01,  1.225599E+01,  4.013777E-08,  1.337905E-04,  9.444241E-03,  3.434502E-01,  3.467261E-01,  3.098237E-01
101000,  1.285201E+03,  4.380313E+02,  4.633522E+01,  8.283991E+01,  6.769961E+00,  5.053680E-01,  4.961439E-02,  1.587660E+00,  1.587660E+00,  3.841873E+01,  1.210360E+01,  3.994151E-08,  1.330388E-04,  9.417672E-03,  3.824867E-01,  3.201421E-01,  2.973712E-01
102000,  1.258797E+03,  4.338860E+02,  4.471309E+01,  7.960960E+01,  6.595368E+00,  5.011859E-01,  4.920381E-02,  1.574522E+00,  1.574522E+00,  3.611764E+01,  1.174275E+01,  4.129142E-08,  1.305327E-04,  9.328549E-03,  3.642922E-01,  3.190913E-01,  3.166165E-01
103000,  1.289109E+03,  4.199432E+02,  4.233455E+01,  7.637114E+01,  6.451851E+00,  5.038648E-01,  4.946681E-02,  1.582938E+00,  1.582938E+00,  3.345222E+01,  1.163908E+01,  4.042025E-08,  1.222783E-04,  9.028779E-03,  3.491533E-01,  3.263363E-01,  3.245105E-01
104000,  1.332395E+03,  4.091593E+02,  4.228400E+01,  7.493353E+01,  6.613992E+00,  5.168360E-01,  5.074026E-02,  1.623688E+00,  1.623688E+00,  3.425195E+01,  1.172098E+01,  3.651272E-08,  1.160788E-04,  8.796925E-03,  3.393529E-01,  3.361082E-01,  3.245389E-01
105000,  1.352768E+03,  4.096075E+02,  4.280450E+01,  7.624613E+01,  6.688079E+00,  5.194382E-01,  5.099573E-02,  1.631863E+00,  1.631863E+00,  3.506198E+01,  1.191324E+01,  3.578654E-08,  1.163333E-04,  8.806562E-03,  3.440517E-01,  3.275111E-01,  3.284371E-01
106000,  1.310328E+03,  4.168422E+02,  4.401722E+01,  7.648595E+01,  6.758198E+00,  5.176030E-01,  5.081556E-02,  1.626098E+00,  1.626098E+00,  3.643334E+01,  1.174329E+01,  3.629679E-08,  1.204790E-04,  8.962107E-03,  3.320681E-01,  3.117946E-01,  3.561373E-01
107000,  1.256430E+03,  4.275397E+02,  4.589154E+01,  7.715244E+01,  6.869674E+00,  5.152844E-01,  5.058793E-02,  1.618814E+00,  1.618814E+00,  3.861129E+01,  1.154923E+01,  3.695450E-08,  1.267421E-04,  9.192104E-03,  3.464475E-01,  3.017009E-01,  3.518516E-01
108000,  1.199736E+03,  4.450235E+02,  4.894514E+01,  7.981970E+01,  7.038929E+00,  5.112449E-01,  5.019135E-02,  1.606123E+00,  1.606123E+00,  4.219507E+01,  1.147908E+01,  3.813638E-08,  1.373201E-04,  9.568006E-03,  3.881195E-01,  2.778919E-01,  3.339885E-01
109000,  1.159067E+03,  4.653337E+02,  5.150306E+01,  8.431329E+01,  7.083510E+00,  5.015441E-01,  4.923898E-02,  1.575647E+00,  1.575647E+00,  4.468144E+01,  1.159609E+01,  4.117359E-08,  1.501403E-04,  1.000468E-02,  3.894596E-01,  2.976258E-01,  3.129146E-01
110000,  1.144657E+03,  4.790568E+02,  5.270518E+01,  8.824863E+01,  7.041194E+00,  4.928297E-01,  4.838344E-02,  1.548270E+00,  1.548270E+00,  4.545118E+01,  1.178965E+01,  4.416396E-08,  1.591264E-04,  1.029972E-02,  3.621311E-01,  3.008066E-01,  3.370624E-01
111000,  1.129064E+03,  4.834234E+02,  5.285132E+01,  8.864056E+01,  6.996940E+00,  4.890547E-01,  4.801283E-02,  1.536411E+00,  1.536411E+00,  4.529075E+01,  1.173505E+01,  4.554343E-08,  1.620405E-04,  1.039360E-02,  3.458486E-01,  3.065984E-01,  3.475530E-01
112000,  1.129621E+03,  4.782261E+02,  5.037989E+01,  8.678762E+01,  6.742236E+00,  4.826725E-01,  4.738626E-02,  1.516360E+00,  1.516360E+00,  4.160129E+01,  1.161461E+01,  4.800044E-08,  1.585750E-04,  1.028186E-02,  3.390202E-01,  2.904711E-01,  3.705088E-01
113000,  1.145201E+03,  4.645823E+02,  4.683849E+01,  8.303584E+01,  6.452384E+00,  4.790666E-01,  4.703226E-02,  1.505032E+00,  1.505032E+00,  3.701423E+01,  1.143886E+01,  4.946200E-08,  1.496558E-04,  9.988520E-03,  3.295043E-01,  2.979746E-01,  3.725212E-01
114000,  1.175664E+03,  4.456673E+02,  4.388139E+01,  7.844466E+01,  6.301582E+00,  4.833777E-01,  4.745549E-02,  1.518576E+00,  1.518576E+00,  3.386691E+01,  1.126504E+01,  4.772094E-08,  1.377177E-04,  9.581847E-03,  3.423674E-01,  2.851028E-01,  3.725297E-01
115000,  1.212464E+03,  4.315694E+02,  4.302590E+01,  7.586273E+01,  6.380568E+00,  4.942783E-01,  4.852565E-02,  1.552821E+00,  1.552821E+00,  3.362288E+01,  1.125014E+01,  4.364849E-08,  1.291426E-04,  9.278742E-03,  3.342343E-01,  2.966879E-01,  3.690778E-01
116000,  1.219435E+03,  4.310262E+02,  4.438941E+01,  7.610698E+01,  6.591066E+00,  5.026819E-01,  4.935068E-02,  1.579222E+00,  1.579222E+00,  3.583279E+01,  1.130058E+01,  4.080210E-08,  1.288177E-04,  9.267063E-03,  3.194390E-01,  3.240078E-01,  3.565531E-01
117000,  1.236585E+03,  4.365834E+02,  4.595700E+01,  7.918030E+01,  6.736967E+00,  5.049702E-01,  4.957533E-02,  1.586411E+00,  1.586411E+00,  3.791942E+01,  1.160726E+01,  4.006750E-08,  1.321608E-04,  9.386544E-03,  3.199521E-01,  3.341331E-01,  3.459147E-01
118000,  1.257056E+03,  4.410265E+02,  4.700962E+01,  8.213766E+01,  6.821847E+00,  5.055752E-01,  4.963474E-02,  1.588312E+00,  1.588312E+00,  3.927663E+01,  1.191949E+01,  3.987605E-08,  1.348645E-04,  9.482070E-03,  2.939559E-01,  3.396685E-01,  3.663756E-01
119000,  1.253458E+03,  4.398271E+02,  4.755048E+01,  8.145769E+01,  6.919153E+00,  5.098620E-01,  5.005559E-02,  1.601779E+00,  1.601779E+00,  4.029520E+01,  1.185305E+01,  3.855181E-08,  1.341319E-04,  9.456282E-03,  2.984492E-01,  3.169321E-01,  3.846187E-01
120000,  1.240664E+03,  4.347715E+02,  4.579590E+01,  7.878340E+01,  6.741330E+00,  5.061852E-01,  4.969462E-02,  1.590228E+00,  1.590228E+00,  3.781097E+01,  1.159721E+01,  3.968419E-08,  1.310660E-04,  9.347586E-03,  3.212330E-01,  3.124042E-01,  3.663628E-01
