iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
100000,  4.427743E+03,  6.542349E+02,  5.322646E+01,  1.061102E+02,  2.082734E+01,  1.450598E+00,  3.560304E-02,  4.557189E+00,  4.557189E+00,  1.357710E+02,  4.152058E+01,  1.115765E-08,  1.319025E-04,  9.377368E-03,  3.128043E-01,  3.668781E-01,  3.203177E-01
101000,  4.406242E+03,  6.546006E+02,  5.344095E+01,  1.057130E+02,  2.089959E+01,  1.452706E+00,  3.565478E-02,  4.563812E+00,  4.563812E+00,  1.367910E+02,  4.134204E+01,  1.109303E-08,  1.320500E-04,  9.382608E-03,  3.072941E-01,  3.635527E-01,  3.291532E-01
102000,  4.374461E+03,  6.553331E+02,  5.356395E+01,  1.051855E+02,  2.092428E+01,  1.452752E+00,  3.565589E-02,  4.563954E+00,  4.563954E+00,  1.372678E+02,  4.108978E+01,  1.109165E-08,  1.323457E-04,  9.393107E-03,  3.039039E-01,  3.599485E-01,  3.361476E-01
103000,  4.327225E+03,  6.561259E+02,  5.328419E+01,  1.043016E+02,  2.078984E+01,  1.447202E+00,  3.551969E-02,  4.546520E+00,  4.546520E+00,  1.356736E+02,  4.069526E+01,  1.126276E-08,  1.326661E-04,  9.404471E-03,  3.009207E-01,  3.548139E-01,  3.442653E-01
104000,  4.284738E+03,  6.567950E+02,  5.297220E+01,  1.034883E+02,  2.064705E+01,  1.441489E+00,  3.537946E-02,  4.528571E+00,  4.528571E+00,  1.339528E+02,  4.033679E+01,  1.144238E-08,  1.329369E-04,  9.414062E-03,  2.992936E-01,  3.459979E-01,  3.547085E-01
105000,  4.264133E+03,  6.575876E+02,  5.285695E+01,  1.032393E+02,  2.057730E+01,  1.438184E+00,  3.529835E-02,  4.518189E+00,  4.518189E+00,  1.332098E+02,  4.019126E+01,  1.154790E-08,  1.332579E-04,  9.425422E-03,  3.032704E-01,  3.366200E-01,  3.601096E-01
106000,  4.256831E+03,  6.588319E+02,  5.310582E+01,  1.034530E+02,  2.063514E+01,  1.438844E+00,  3.531454E-02,  4.520261E+00,  4.520261E+00,  1.342132E+02,  4.019835E+01,  1.152676E-08,  1.337627E-04,  9.443258E-03,  3.076618E-01,  3.308973E-01,  3.614409E-01
107000,  4.236340E+03,  6.609005E+02,  5.377295E+01,  1.036025E+02,  2.082897E+01,  1.443321E+00,  3.542444E-02,  4.534328E+00,  4.534328E+00,  1.371757E+02,  4.013046E+01,  1.138438E-08,  1.346040E-04,  9.472908E-03,  3.127269E-01,  3.240819E-01,  3.631912E-01
108000,  4.195628E+03,  6.635645E+02,  5.416348E+01,  1.034357E+02,  2.089601E+01,  1.442737E+00,  3.541010E-02,  4.532493E+00,  4.532493E+00,  1.386167E+02,  3.990500E+01,  1.140283E-08,  1.356913E-04,  9.511092E-03,  3.179581E-01,  3.154831E-01,  3.665588E-01
109000,  4.146068E+03,  6.662831E+02,  5.427363E+01,  1.030531E+02,  2.085307E+01,  1.438311E+00,  3.530146E-02,  4.518587E+00,  4.518587E+00,  1.386132E+02,  3.959519E+01,  1.154384E-08,  1.368054E-04,  9.550058E-03,  3.196326E-01,  3.137098E-01,  3.666576E-01
